,site.latitude (deg),site.longitude (deg),iron.LCOE (USD/MW/h),iron.LCOH (USD/kg),iron.LCOI (USD/kg)
57,39.765,-83.169,60.6389907,8.920491025,0.8016062374720486
58,43.478,-90.607,54.7934753,6.656543983,0.6743790547419194
59,40.846,-95.916,49.00242728,6.357131627,0.6570549106585734
60,41.48,-92.247,51.31129381,6.47246505,0.6637359159467717
61,46.557,-92.397,65.61020315,8.920584641,0.8021048820865094
62,42.796,-96.513,46.88752754,6.663217889,0.6739677094583119
63,41.196,-84.939,56.18609974,7.304981003,0.7107913594277826
64,41.301,-89.914,52.27357502,6.557154344,0.6685690116806589
65,38.735,-89.447,56.67704606,7.716713398,0.7338727249134852
66,44.564,-90.973,54.16784025,6.995728955,0.6932912356620481
67,43.399,-84.233,56.52538901,7.342584936,0.7129286288155633
68,40.403,-92.166,51.16250247,6.74221526,0.6788111892241094
69,38.862,-93.101,52.61488688,6.996040576,0.6931545327353583
70,41.717,-88.398,58.02462706,7.10284254,0.6996660523798913
71,44.056,-72.423,57.60315341,9.361197001,0.8259583643286462
72,45.586,-87.582,57.64037358,7.851745274,0.7415221285679031
73,44.721,-93.281,54.55981386,7.286968665,0.709622321192511
74,40.227,-85.106,55.34456603,7.546306027,0.7242077484495044
75,41.763,-76.475,62.14805368,8.711817509,0.7900826540441657
76,42.45,-92.039,50.89051651,6.617038851,0.671781725942632
77,44.037,-76.354,52.30808721,7.855595437,0.7412082644235577
78,46.887,-94.784,55.19318723,7.119884185,0.7003383467061237
79,41.138,-95.478,50.99325709,6.431124144,0.6613917066965758
80,39.732,-78.404,69.22754364,11.19056578,0.9294484639965758
81,39.719,-84.904,56.02114788,8.079337839,0.7540931246633997
82,44.144,-86.399,54.58691417,6.837009571,0.6844539414385941
83,42.875,-88.104,54.75903184,7.161985723,0.7026504490051497
84,40.064,-81.224,59.84133196,8.827448556,0.7963221977570343
85,43.156,-73.707,80.94288555,11.47455377,0.9464977606161281
86,43.033,-74.216,74.01588852,10.24146903,0.8768304945581896
87,41.233,-96.938,44.8074436,6.303142878,0.6536183724652423
88,38.794,-95.637,46.52550588,6.614472671,0.6712049314702173
