site.latitude,site.longitude,iron_transport.latitude,iron_transport.longitude,ewin_grid_feedstock.price,grid_feedstock.price
44.621,-89.886,44.621,-89.886,0.0864,0
42.207,-90.569,42.207,-90.569,0.0636,0
46.499,-95.111,46.499,-95.111,0.093,0
40.758,-87.057,40.758,-87.057,0.0895,0
39.281,-95.209,39.281,-95.209,0.0826,0
41.723,-95.473,41.723,-95.473,0.0636,0
40.707,-92.583,40.707,-92.583,0.0636,0
40.374,-82.319,40.374,-82.319,0.0933,0
41.971,-92.366,41.971,-92.366,0.0636,0
40.181,-84.535,40.181,-84.535,0.0933,0
42.24,-76.323,42.24,-76.323,0.0895,0
40.26,-95.917,40.26,-95.917,0.075,0
45.441,-88.545,45.441,-88.545,0.0864,0
41.361,-72.544,41.361,-72.544,0.177,0
43.881,-74.532,43.881,-74.532,0.0895,0
46.375,-93.045,46.375,-93.045,0.093,0
39.137,-85.003,39.137,-85.003,0.0895,0
38.756,-81.946,38.756,-81.946,0.0827,0
42.59,-72.069,42.59,-72.069,0.1903,0
43.181,-97.27,43.181,-97.27,0.0867,0
41.458,-91.515,41.458,-91.515,0.0636,0
39.967,-95.487,39.967,-95.487,0.0826,0
41.804,-77.515,41.804,-77.515,0.102,0
45.497,-89.795,45.497,-89.795,0.0864,0
44.925,-74.149,44.925,-74.149,0.0895,0
43.338,-89.56,43.338,-89.56,0.0864,0
43.168,-90.182,43.168,-90.182,0.0864,0
41.631,-76.967,41.631,-76.967,0.102,0
46.413,-88.42,46.413,-88.42,0.0846,0
40.054,-97.782,40.054,-97.782,0.075,0
43.846,-87.977,43.846,-87.977,0.0864,0
38.041,-80.831,38.041,-80.831,0.0827,0
40.263,-86.981,40.263,-86.981,0.0895,0
41.287,-77.37,41.287,-77.37,0.102,0
42.585,-90.237,42.585,-90.237,0.0864,0
40.654,-90.846,40.654,-90.846,0.0996,0
40.577,-81.398,40.577,-81.398,0.0933,0
46.361,-84.431,46.361,-84.431,0.0846,0
44.053,-97.747,44.053,-97.747,0.0867,0
40.592,-75.951,40.592,-75.951,0.102,0
39.147,-79.282,39.147,-79.282,0.0827,0
38.644,-76.981,38.644,-76.981,0.1247,0
42.699,-95.913,42.699,-95.913,0.0636,0
40.276,-80.446,40.276,-80.446,0.102,0
46.002,-94.17,46.002,-94.17,0.093,0
43.769,-95.151,43.769,-95.151,0.093,0
42.828,-83.285,42.828,-83.285,0.0846,0
42.306,-85.339,42.306,-85.339,0.0846,0
45.817,-96.539,45.817,-96.539,0.093,0
40.981,-72.087,40.981,-72.087,0.0895,0
43.651,-84.949,43.651,-84.949,0.0846,0
41.872,-78.847,41.872,-78.847,0.102,0
46.915,-88.676,46.915,-88.676,0.0846,0
39.504,-82.503,39.504,-82.503,0.0933,0
43.257,-93.195,43.257,-93.195,0.0636,0
44.479,-73.84,44.479,-73.84,0.0895,0
42.826,-91.565,42.826,-91.565,0.0636,0
44.842,-88.309,44.842,-88.309,0.0864,0
38.398,-82.306,38.398,-82.306,0.0827,0
38.559,-92.694,38.559,-92.694,0.0784,0
38.871,-90.281,38.871,-90.281,0.0784,0
40.71,-78.279,40.71,-78.279,0.102,0
39.423,-92.081,39.423,-92.081,0.0784,0
38.36,-87.942,38.36,-87.942,0.0996,0
41.354,-82.253,41.354,-82.253,0.0933,0
46.891,-95.586,46.891,-95.586,0.093,0
38.215,-83.47,38.215,-83.47,0.0686,0
46.464,-89.532,46.464,-89.532,0.0846,0
40.153,-94.337,40.153,-94.337,0.0784,0
43.952,-93.927,43.952,-93.927,0.093,0
41.477,-79.7,41.477,-79.7,0.102,0
44.209,-87.467,44.209,-87.467,0.0864,0
45.683,-92.608,45.683,-92.608,0.0864,0
38.781,-85.488,38.781,-85.488,0.0895,0
38.312,-91.028,38.312,-91.028,0.0784,0
38.394,-94.381,38.394,-94.381,0.0784,0
39.663,-79.437,39.663,-79.437,0.1247,0
39.766,-97.345,39.766,-97.345,0.0826,0
41.456,-87.252,41.456,-87.252,0.0895,0
42.671,-84.974,42.671,-84.974,0.0846,0
43.626,-83.423,43.626,-83.423,0.0846,0
39.601,-76.697,39.601,-76.697,0.1247,0
40.484,-91.583,40.484,-91.583,0.0636,0
43.058,-78.818,43.058,-78.818,0.0895,0
39.774,-85.614,39.774,-85.614,0.0895,0
44.738,-85.058,44.738,-85.058,0.0846,0
42.697,-95.315,42.697,-95.315,0.0636,0
43.318,-91.681,43.318,-91.681,0.0636,0
45.329,-96.691,45.329,-96.691,0.0867,0
38.641,-83.814,38.641,-83.814,0.0686,0
43.979,-84.119,43.979,-84.119,0.0846,0
38.273,-85.287,38.273,-85.287,0.0686,0
45.957,-87.211,45.957,-87.211,0.0846,0
44.231,-93.15,44.231,-93.15,0.093,0
42.148,-77.109,42.148,-77.109,0.0895,0
40.732,-81.948,40.732,-81.948,0.0933,0
39.755,-77.816,39.755,-77.816,0.102,0
42.672,-93.222,42.672,-93.222,0.0636,0
40.894,-83.673,40.894,-83.673,0.0933,0
44.221,-75.509,44.221,-75.509,0.0895,0
38.896,-84.476,38.896,-84.476,0.0686,0
46.089,-87.827,46.089,-87.827,0.0846,0
40.746,-83.117,40.746,-83.117,0.0933,0
41.954,-91.775,41.954,-91.775,0.0636,0
43.576,-96.216,43.576,-96.216,0.093,0
45.628,-86.63,45.628,-86.63,0.0846,0
46.495,-97.342,46.495,-97.342,0.0755,0
46.388,-93.84,46.388,-93.84,0.093,0
45.12,-90.146,45.12,-90.146,0.0864,0
43.425,-85.904,43.425,-85.904,0.0846,0
39.278,-90.671,39.278,-90.671,0.0996,0
46.537,-85.52,46.537,-85.52,0.0846,0
40.892,-89.516,40.892,-89.516,0.0996,0
44.93,-73.509,44.93,-73.509,0.0895,0
45.172,-91.701,45.172,-91.701,0.0864,0
41.191,-87.728,41.191,-87.728,0.0996,0
42.979,-97.867,42.979,-97.867,0.0867,0
44.775,-88.939,44.775,-88.939,0.0864,0
45.032,-94.666,45.032,-94.666,0.093,0
43.964,-96.675,43.964,-96.675,0.0867,0
40.354,-94.908,40.354,-94.908,0.0784,0
44.544,-94.523,44.544,-94.523,0.093,0
38.931,-91.97,38.931,-91.97,0.0784,0
41.453,-73.717,41.453,-73.717,0.0895,0
40.27,-85.678,40.27,-85.678,0.0895,0
43.489,-73.271,43.489,-73.271,0.0895,0
41.556,-81.317,41.556,-81.317,0.0933,0
39.044,-92.528,39.044,-92.528,0.0784,0
46.046,-88.944,46.046,-88.944,0.0864,0
41.013,-79.969,41.013,-79.969,0.102,0
40.552,-95.483,40.552,-95.483,0.0784,0
39.52,-87.656,39.52,-87.656,0.0996,0
46.499,-96.705,46.499,-96.705,0.093,0
41.56,-84.578,41.56,-84.578,0.0933,0
44.843,-95.755,44.843,-95.755,0.093,0
43.462,-93.792,43.462,-93.792,0.0636,0
45.873,-89.439,45.873,-89.439,0.0864,0
39.944,-76.301,39.944,-76.301,0.102,0
39.134,-80.863,39.134,-80.863,0.0827,0
38.582,-93.815,38.582,-93.815,0.0784,0
42.32,-77.663,42.32,-77.663,0.0895,0
40.177,-91.172,40.177,-91.172,0.0996,0
42.503,-88.451,42.503,-88.451,0.0864,0
42.973,-93.659,42.973,-93.659,0.0636,0
39.938,-90.043,39.938,-90.043,0.0996,0
42.941,-92.158,42.941,-92.158,0.0636,0
40.973,-78.796,40.973,-78.796,0.102,0
41.816,-86.757,41.816,-86.757,0.0846,0
46.774,-93.505,46.774,-93.505,0.093,0
42.291,-93.685,42.291,-93.685,0.0636,0
40.63,-93.6,40.63,-93.6,0.0636,0
46.3,-94.637,46.3,-94.637,0.093,0
45.891,-93.227,45.891,-93.227,0.093,0
45.331,-95.91,45.331,-95.91,0.093,0
45.66,-84.253,45.66,-84.253,0.0846,0
43.238,-74.916,43.238,-74.916,0.0895,0
40.734,-85.311,40.734,-85.311,0.0895,0
41.714,-85.292,41.714,-85.292,0.0895,0
38.277,-84.162,38.277,-84.162,0.0686,0
38.827,-82.643,38.827,-82.643,0.0933,0
44.072,-90.861,44.072,-90.861,0.0864,0
41.864,-86.008,41.864,-86.008,0.0846,0
39.863,-82.138,39.863,-82.138,0.0933,0
44.355,-95.604,44.355,-95.604,0.093,0
43.922,-92.401,43.922,-92.401,0.093,0
38.881,-94.228,38.881,-94.228,0.0784,0
42.211,-95.766,42.211,-95.766,0.0636,0
39.919,-92.338,39.919,-92.338,0.0784,0
42.589,-94.122,42.589,-94.122,0.0636,0
41.118,-74.137,41.118,-74.137,0.0895,0
42.359,-89.512,42.359,-89.512,0.0996,0
46.684,-90.148,46.684,-90.148,0.0846,0
43.792,-85.536,43.792,-85.536,0.0846,0
41.782,-78.122,41.782,-78.122,0.102,0
41.789,-75.26,41.789,-75.26,0.102,0
46.012,-95.276,46.012,-95.276,0.093,0
41.409,-79.123,41.409,-79.123,0.102,0
40.236,-82.929,40.236,-82.929,0.0933,0
43.405,-76.097,43.405,-76.097,0.0895,0
40.937,-97.37,40.937,-97.37,0.075,0
43.863,-97.284,43.863,-97.284,0.0867,0
42.465,-78.833,42.465,-78.833,0.0895,0
38.64,-84.945,38.64,-84.945,0.0686,0
44.806,-92.658,44.806,-92.658,0.0864,0
43.201,-91.085,43.201,-91.085,0.0864,0
44.3,-91.917,44.3,-91.917,0.0864,0
40.22,-81.77,40.22,-81.77,0.0933,0
45.703,-93.708,45.703,-93.708,0.093,0
45.523,-95.126,45.523,-95.126,0.093,0
45.036,-95.288,45.036,-95.288,0.093,0
45.067,-84.214,45.067,-84.214,0.0846,0
39.513,-83.649,39.513,-83.649,0.0933,0
46.638,-91.752,46.638,-91.752,0.0864,0
40.967,-91.404,40.967,-91.404,0.0636,0
42.695,-97.11,42.695,-97.11,0.075,0
46.317,-86.678,46.317,-86.678,0.0846,0
39.278,-85.55,39.278,-85.55,0.0895,0
45.259,-87.002,45.259,-87.002,0.0864,0
45.913,-83.725,45.913,-83.725,0.0846,0
38.913,-91.406,38.913,-91.406,0.0784,0
43.752,-90.126,43.752,-90.126,0.0864,0
42.273,-83.698,42.273,-83.698,0.0846,0
46.579,-86.154,46.579,-86.154,0.0846,0
43.512,-89.086,43.512,-89.086,0.0864,0
46.882,-97.672,46.882,-97.672,0.0755,0
39.654,-93.636,39.654,-93.636,0.0784,0
39.467,-94.212,39.467,-94.212,0.0784,0
40.352,-97.358,40.352,-97.358,0.075,0
42.185,-86.404,42.185,-86.404,0.0846,0
42.678,-82.712,42.678,-82.712,0.0846,0
41.021,-86.58,41.021,-86.58,0.0895,0
44.356,-74.359,44.356,-74.359,0.0895,0
39.575,-84.355,39.575,-84.355,0.0933,0
38.941,-86.313,38.941,-86.313,0.0895,0
38.795,-90.851,38.795,-90.851,0.0784,0
41.65,-88.996,41.65,-88.996,0.0996,0
42.068,-84.783,42.068,-84.783,0.0846,0
39.351,-81.961,39.351,-81.961,0.0933,0
38.64,-76.265,38.64,-76.265,0.1247,0
40.553,-96.35,40.553,-96.35,0.075,0
43.756,-75.045,43.756,-75.045,0.0895,0
46.087,-89.891,46.087,-89.891,0.0864,0
40.001,-91.759,40.001,-91.759,0.0784,0
40.397,-78.953,40.397,-78.953,0.102,0
40.787,-86.032,40.787,-86.032,0.0895,0
44.058,-94.688,44.058,-94.688,0.093,0
40.988,-92.13,40.988,-92.13,0.0636,0
42.727,-89.024,42.727,-89.024,0.0864,0
42.335,-91.451,42.335,-91.451,0.0636,0
38.392,-88.5,38.392,-88.5,0.0996,0
44.244,-90.231,44.244,-90.231,0.0864,0
43.469,-97.73,43.469,-97.73,0.0867,0
