,site.latitude,site.longitude,iron.LCOE,iron.LCOH,state,rate
140,41.225,-97.815,48.29404304,6.887453274,NE,7.5
141,43.101,-88.679,53.03067508,6.615076123,WI,8.64
142,46.066,-92.269,61.42938904,8.143522162,WI,8.64
143,45.91,-90.383,57.83685565,7.028809928,WI,8.64
144,43.227,-75.538,75.42836767,11.27986223,NY,8.95
145,39.397,-91.23,52.56550712,6.798847242,MO,7.84
146,46.698,-85.008,52.72711292,8.005433585,MI,8.46
147,45.715,-94.651,51.03142157,6.844917182,MN,9.3
148,41.506,-82.813,57.09718467,8.717754935,OH,9.33
149,38.304,-95.361,49.92079696,6.722028795,KS,8.26
150,41.931,-91.037,51.68681366,6.799257548,IA,6.36
151,40.544,-84.178,56.15485391,7.723515068,OH,9.33
152,45.835,-91.022,57.09875181,7.290884745,WI,8.64
153,39.502,-74.69,56.79142229,7.973092397,NJ,13.64
154,43.939,-72.942,53.32671274,7.618989204,VT,12.6
155,40.148,-75.65,57.84709107,8.235350996,PA,10.2
156,38.306,-95.919,50.14571571,6.834479039,KS,8.26
157,41.198,-92.702,53.31606401,6.841342284,IA,6.36
158,39.353,-93.221,54.7802893,7.195586393,MO,7.84
159,44.837,-72.907,71.3194361,10.52109026,VT,12.6
160,43.11,-72.172,55.36600246,8.888975195,NH,16.86
161,46.146,-91.63,58.13416581,7.454519634,WI,8.64
162,39.967,-96.347,44.02907256,6.097882312,KS,8.26
163,39.274,-97.619,47.07840636,6.545498265,KS,8.26
164,43.562,-86.491,55.70970331,7.118851599,MI,8.46
165,41.271,-75.133,53.47236237,8.024438305,PA,10.2
166,43.286,-85.319,56.6952872,7.755424106,MI,8.46
167,42.129,-88.793,54.14661409,6.501983191,IL,9.96
168,44.621,-89.886,55.26646759,7.024110613,WI,8.64
169,42.207,-90.569,52.58770358,6.642200034,IA,6.36
170,46.499,-95.111,51.92864537,6.996419759,MN,9.3
171,40.758,-87.057,56.8555571,7.130380178,IN,8.95
172,39.281,-95.209,51.4771514,6.880614986,KS,8.26
173,41.723,-95.473,46.69607968,5.867770467,IA,6.36
174,40.707,-92.583,49.05015761,6.560043716,IA,6.36
175,40.374,-82.319,60.10662274,8.505918307,OH,9.33
176,41.971,-92.366,50.3678127,6.495398503,IA,6.36
177,40.181,-84.535,56.35996593,7.778285957,OH,9.33
178,42.24,-76.323,69.36892469,11.02959371,NY,8.95
179,40.26,-95.917,48.50109937,6.553833735,NE,7.5
180,45.441,-88.545,55.8526599,6.659344602,WI,8.64
181,41.361,-72.544,53.88391198,7.614258476,CT,17.7
182,43.881,-74.532,58.37302204,7.950019899,NY,8.95
183,46.375,-93.045,55.3918541,7.021579046,MN,9.3
184,39.137,-85.003,61.51175413,8.628449283,IN,8.95
185,38.756,-81.946,71.72107525,11.3668183,WV,8.27
186,42.59,-72.069,58.97538041,8.411540943,MA,19.03
187,43.181,-97.27,46.43618932,6.279777875,SD,8.67
188,41.458,-91.515,56.16438589,7.233361486,IA,6.36
189,39.967,-95.487,48.87948543,6.733395312,KS,8.26
190,41.804,-77.515,51.04981458,7.993755204,PA,10.2
191,45.497,-89.795,58.81570232,7.355118333,WI,8.64
192,44.925,-74.149,55.02626753,8.029748129,NY,8.95
193,43.338,-89.56,58.18240607,7.195248869,WI,8.64
194,43.168,-90.182,69.10016634,8.273254796,WI,8.64
195,41.631,-76.967,53.70716911,8.213743211,PA,10.2
196,46.413,-88.42,55.17809147,6.749316878,MI,8.46
197,40.054,-97.782,45.34490702,6.438691013,NE,7.5
198,43.846,-87.977,52.44338023,6.439618227,WI,8.64
199,38.041,-80.831,54.10203166,9.966578887,WV,8.27
200,40.263,-86.981,54.62289587,7.055294044,IN,8.95
201,41.287,-77.37,61.45616063,9.527505315,PA,10.2
202,42.585,-90.237,52.96659442,6.53500173,WI,8.64
203,40.654,-90.846,51.16622167,6.625098277,IL,9.96
204,40.577,-81.398,62.90874286,9.207572255,OH,9.33
205,46.361,-84.431,60.67660851,8.526102871,MI,8.46
206,44.053,-97.747,49.14434791,7.507503977,SD,8.67
