site.latitude,site.longitude
34.97,-114.121
31.705,-96.054
29.734,-91.717
36.342,-95.108
31.855,-85.588
40.475,-100.683
38.606,-113.841
33.839,-99.328
44.417,-69.248
33.114,-109.84
46.698,-85.008
48.426,-117.181
37.547,-86.098
34.783,-100.701
42.518,-107.726
45.715,-94.651
41.506,-82.813
35.283,-107.036
34.173,-106.069
38.304,-95.361
41.931,-91.037
38.288,-103.607
40.544,-84.178
36.267,-112.675
35.745,-101.305
40.913,-121.971
44.851,-103.512
45.835,-91.022
34.644,-86.907
39.502,-74.69
31.805,-102.933
44.387,-102.991
43.939,-72.942
40.148,-75.65
38.318,-121.22
35.616,-105.334
42.186,-112.162
44.402,-109.803
36.257,-87.374
44.769,-118.882
41.713,-110.101
40.62,-114.41
38.589,-112.411
36.374,-76.512
37.398,-112.398
32.855,-101.869
37.662,-113.447
37.013,-105.114
38.306,-95.919
33.686,-96.186
30.728,-102.582
41.198,-92.702
32.981,-84.775
33.616,-82.174
35.669,-102.914
39.353,-93.221
47.542,-121.7
44.837,-72.907
29.812,-96.176
35.144,-90.453
43.162,-122.95
30.444,-84.4
47.67,-108.466
43.11,-72.172
48.342,-98.209
36.529,-103.41
37.717,-95.366
46.146,-91.63
48.857,-105.555
39.967,-96.347
46.506,-115.817
48.232,-106.109
44.385,-106.389
32.659,-105.082
39.274,-97.619
42.911,-113.575
32.079,-93.626
37.888,-88.278
43.562,-86.491
45.228,-117.14
33.459,-81.678
35.54,-93.777
37.313,-97.847
33.299,-91.246
43.592,-100.923
48.937,-97.567
47.387,-105.472
36.476,-81.044
36.051,-84.683
41.271,-75.133
43.286,-85.319
42.129,-88.793
42.67,-116.863
35.052,-94.059
43.582,-107.932
36.151,-85.892
44.621,-89.886
42.207,-90.569
46.499,-95.111
41.11,-105.556
36.879,-120.249
40.43,-105.455
40.758,-87.057
44.195,-108.827
31.585,-110.065
32.895,-81.137
48.322,-121.894
39.281,-95.209
41.723,-95.473
31.838,-100.002
30.848,-92.156
45.038,-105.409
47.331,-115.611
35.231,-83.336
31.03,-105.517
30.606,-89.032
39.741,-103.921
45.38,-68.963
29.456,-99.631
44.848,-67.755
27.492,-97.735
48.819,-110.066
40.707,-92.583
35.22,-108.775
40.374,-82.319
45.436,-115.613
32.191,-94.39
48.13,-99.185
36.029,-77.575
46.824,-124.042
36.003,-84.147
45.133,-109.345
37.485,-109.904
41.971,-92.366
40.181,-84.535
46.161,-111.988
41.114,-122.511
37.361,-109.182
33.215,-100.338
40.752,-101.139
39.231,-102.438
28.888,-82.163
45.878,-115.28
30.23,-89.442
32.955,-81.647
32.575,-83.671
37.122,-94.548
39.226,-120.698
42.24,-76.323
46.215,-101.304
45.309,-108.439
38.556,-104.06
36.245,-83.559
40.26,-95.917
45.441,-88.545
44.639,-67.21
36.886,-102.215
41.361,-72.544
34.671,-84.772
36.721,-108.645
30.705,-97.056
29.749,-83.507
43.881,-74.532
42.853,-102.366
46.375,-93.045
35.894,-81.171
26.17,-80.837
35.415,-92.576
39.137,-85.003
35.952,-96.057
40.829,-123.447
34.822,-78.976
46.557,-99.578
38.325,-120.644
32.822,-84.15
45.195,-119.371
30.933,-81.529
38.756,-81.946
47.169,-98.164
44.06,-119.554
37.959,-105.662
42.59,-72.069
28.911,-95.684
31.425,-81.433
43.181,-97.27
34.234,-107.668
37.623,-78.26
43.495,-116.684
33.141,-80.692
47.677,-115.234
43.91,-71.535
29.685,-98.527
32.305,-106.972
45.999,-107.154
43.324,-111.699
38.521,-107.295
43.109,-117.942
35.968,-108.234
46.932,-107.82
41.458,-91.515
41.984,-107.029
40.238,-109.048
39.967,-95.487
36.226,-88.465
43.548,-104.112
44.761,-117.606
36.246,-96.464
35.28,-100.6
39.297,-112.303
29.689,-103.237
41.804,-77.515
40.346,-101.539
39.524,-115.838
45.497,-89.795
44.949,-101.191
44.925,-74.149
40.812,-108.141
39.81,-109.395
30.211,-95.803
33.509,-84.036
29.164,-81.118
39.803,-119.151
35.689,-89.467
47.369,-109.707
30.114,-91.197
43.338,-89.56
48.25,-97.713
43.168,-90.182
41.631,-76.967
44.41,-68.128
44.083,-100.81
45.857,-113.826
35.721,-108.732
35.404,-99.805
33.783,-113.285
37.147,-104.58
46.413,-88.42
35.144,-86.976
40.054,-97.782
32.829,-102.384
37.377,-104.056
44.117,-70.974
43.846,-87.977
33.528,-99.836
37.825,-122.18
40.917,-103.921
38.041,-80.831
42.454,-99.789
40.263,-86.981
41.209,-115.925
36.589,-120.707
41.287,-77.37
34.046,-83.416
33.871,-80.932
29.411,-95.435
42.585,-90.237
40.654,-90.846
40.577,-81.398
33.901,-100.511
32.608,-83.017
45.441,-101.077
46.361,-84.431
46.023,-70.302
32.388,-90.791
44.053,-97.747
35.757,-113.508
40.592,-75.951
40.416,-121.915
44.394,-100.219
26.578,-98.072
33.927,-114.387
33.554,-86.915
44.804,-105.994
34.998,-100.182
37.22,-80.6
39.147,-79.282
42.006,-123.671
37.39,-121.292
38.644,-76.981
48.654,-103.858
45.2,-102.306
42.699,-95.913
44.41,-99.604
40.664,-108.697
32.243,-112.787
40.276,-80.446
33.687,-110.083
46.002,-94.17
42.965,-98.768
43.769,-95.151
43.758,-105.516
35.43,-84.38
34.909,-86.472
36.806,-109.764
41.845,-114.925
34.374,-80.958
40.07,-101.085
34.116,-80.48
42.828,-83.285
37.913,-84.507
32.733,-106.647
47.243,-92.515
48.489,-111.486
44.092,-110.97
35.899,-99.697
39.639,-122.782
45.783,-102.369
42.306,-85.339
45.817,-96.539
40.981,-72.087
46.893,-103.779
39.634,-118.356
41.988,-70.928
48.167,-108.411
37.994,-112.404
31.522,-100.493
43.868,-101.403
34.974,-118.479
43.651,-84.949
32.793,-113.178
41.872,-78.847
46.915,-88.676
47.28,-95.26
47.062,-102.188
31.188,-98.199
39.504,-82.503
43.257,-93.195
44.967,-106.49
38.166,-114.148
44.479,-73.84
30.694,-94.046
35.409,-78.15
42.826,-91.565
34.165,-90.661
44.842,-88.309
48.412,-99.696
31.104,-102.995
38.398,-82.306
36.467,-108.186
45.546,-120.323
38.559,-92.694
37.936,-91.474
33.613,-80.458
38.871,-90.281
40.71,-78.279
36.462,-91.435
44.636,-117.085
34.371,-114.101
